# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9M of event 'cycles:P'
# Event count (approx.): 6596492827793
#
# Overhead  Command        Shared Object               Symbol                                                                                                        
# ........  .............  ..........................  ..............................................................................................................
#
    34.86%  my_executable  libstencil.so               [.] solve_jacobi._omp_fn.1
    31.25%  my_executable  libstencil.so               [.] idx_const
    11.36%  my_executable  libstencil.so               [.] idx_const@plt
     6.38%  my_executable  libstencil.so               [.] mesh_copy_core
     4.64%  my_executable  libstencil.so               [.] setup_mesh_cell_values._omp_fn.0
     4.22%  my_executable  libstencil.so               [.] setup_mesh_cell_kinds._omp_fn.0
     1.19%  my_executable  [kernel.vmlinux]            [k] clear_page_erms
     0.86%  my_executable  libstencil.so               [.] mesh_set_cell_kind
     0.42%  my_executable  [kernel.vmlinux]            [k] copy_page
     0.18%  my_executable  libm.so.6                   [.] 0x0000000000073b8f
     0.16%  my_executable  libm.so.6                   [.] 0x0000000000073a5d
     0.13%  my_executable  libstencil.so               [.] idx@plt
     0.12%  my_executable  libm.so.6                   [.] 0x0000000000073bee
     0.12%  my_executable  libm.so.6                   [.] 0x0000000000073bac
     0.11%  my_executable  libm.so.6                   [.] 0x0000000000073a50
     0.11%  my_executable  libm.so.6                   [.] 0x0000000000073939
     0.09%  my_executable  libm.so.6                   [.] 0x0000000000073a09
     0.09%  my_executable  libstencil.so               [.] mesh_set_cell_kind@plt
     0.08%  my_executable  libm.so.6                   [.] 0x0000000000073bd6
     0.08%  my_executable  libm.so.6                   [.] 0x0000000000073dec
     0.08%  my_executable  libm.so.6                   [.] 0x000000000007391f
     0.08%  my_executable  libm.so.6                   [.] 0x0000000000073cc5
     0.08%  my_executable  libm.so.6                   [.] 0x0000000000073908
     0.08%  my_executable  libstencil.so               [.] cos@plt
     0.07%  my_executable  libm.so.6                   [.] 0x0000000000073277
     0.07%  my_executable  libm.so.6                   [.] 0x000000000007390a
     0.07%  my_executable  libm.so.6                   [.] 0x000000000007312f
     0.07%  my_executable  libm.so.6                   [.] 0x0000000000073bcd
     0.07%  my_executable  libm.so.6                   [.] 0x0000000000073916
     0.06%  my_executable  libm.so.6                   [.] 0x0000000000073d65
     0.06%  my_executable  libm.so.6                   [.] 0x0000000000073122
     0.06%  my_executable  libm.so.6                   [.] 0x0000000000073c23
     0.06%  my_executable  libm.so.6                   [.] 0x0000000000073da3
     0.06%  my_executable  libm.so.6                   [.] 0x0000000000073bbd
     0.06%  my_executable  libm.so.6                   [.] 0x0000000000073dd3
     0.05%  my_executable  libm.so.6                   [.] 0x00000000000732bb
     0.05%  my_executable  libm.so.6                   [.] 0x0000000000073bc6
     0.05%  my_executable  libm.so.6                   [.] 0x00000000000730cf
     0.05%  my_executable  libm.so.6                   [.] 0x00000000000730a6
     0.05%  my_executable  libm.so.6                   [.] 0x00000000000738f6
     0.05%  my_executable  libm.so.6                   [.] 0x0000000000073218
     0.04%  my_executable  libm.so.6                   [.] 0x0000000000073bf3
     0.04%  my_executable  libm.so.6                   [.] 0x00000000000735fc
     0.04%  my_executable  libm.so.6                   [.] 0x000000000007338f
     0.04%  my_executable  [kernel.vmlinux]            [k] perf_adjust_freq_unthr_context
     0.04%  my_executable  libm.so.6                   [.] 0x00000000000730ee
     0.04%  my_executable  libm.so.6                   [.] 0x000000000007325e
     0.04%  my_executable  libm.so.6                   [.] 0x00000000000730ba
     0.04%  my_executable  libm.so.6                   [.] 0x0000000000073bb1
     0.04%  my_executable  libm.so.6                   [.] 0x0000000000073bd2
     0.04%  my_executable  libm.so.6                   [.] 0x0000000000073ca2
     0.04%  my_executable  libm.so.6                   [.] 0x0000000000073d8f
     0.03%  my_executable  libm.so.6                   [.] 0x0000000000073ba8
     0.03%  my_executable  libstencil.so               [.] idx
     0.03%  my_executable  libm.so.6                   [.] 0x000000000007357d
     0.03%  my_executable  libm.so.6                   [.] 0x0000000000073296
     0.03%  my_executable  libm.so.6                   [.] 0x0000000000073df7
     0.03%  my_executable  libm.so.6                   [.] 0x00000000000732f9
     0.03%  my_executable  libm.so.6                   [.] 0x00000000000735e3
     0.03%  my_executable  libm.so.6                   [.] 0x0000000000073d74
     0.03%  my_executable  libm.so.6                   [.] 0x0000000000073db4
     0.03%  my_executable  libm.so.6                   [.] 0x00000000000738f5
     0.03%  my_executable  libm.so.6                   [.] 0x0000000000073c76
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073c54
     0.02%  my_executable  libm.so.6                   [.] 0x00000000000732c8
     0.02%  my_executable  libm.so.6                   [.] 0x00000000000735b3
     0.02%  my_executable  libgomp.so.1.0.0            [.] gomp_team_barrier_wait_end
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073c6d
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073be8
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073285
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073903
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073c50
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073c72
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073340
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073c83
     0.02%  my_executable  libm.so.6                   [.] 0x000000000007336c
     0.02%  my_executable  libm.so.6                   [.] 0x00000000000730c6
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073df2
     0.02%  my_executable  libstencil.so               [.] sin@plt
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073dfd
     0.02%  my_executable  libm.so.6                   [.] 0x00000000000730b8
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073cd8
     0.02%  my_executable  libm.so.6                   [.] 0x000000000007391b
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073607
     0.02%  my_executable  libm.so.6                   [.] 0x00000000000735a2
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073caa
     0.02%  my_executable  libm.so.6                   [.] 0x000000000007339e
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073cca
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073da7
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073cd0
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000730b3
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c19
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000735c4
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073d98
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073d58
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073d9f
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073584
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007360d
     0.01%  my_executable  [kernel.vmlinux]            [k] free_tail_page_prepare
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073327
     0.01%  my_executable  [kernel.vmlinux]            [k] __rmqueue_pcplist
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073f74
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c2f
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007334d
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073602
     0.01%  my_executable  libgomp.so.1.0.0            [.] gomp_barrier_wait_end
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073d86
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007329f
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073394
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000735af
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007329b
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073d95
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000730a5
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073ca6
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073bff
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007394b
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073322
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073918
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073be4
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073374
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000733a6
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073ce5
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073d9c
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007327c
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000735a8
     0.01%  my_executable  [kernel.vmlinux]            [k] update_load_avg
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c60
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073f8e
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c63
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c66
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000730aa
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000733b3
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073910
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007392d
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000735b7
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c35
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073330
     0.01%  my_executable  [kernel.vmlinux]            [k] update_curr
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073d54
     0.01%  my_executable  [kernel.vmlinux]            [k] psi_account_irqtime
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c4c
     0.01%  my_executable  [kernel.vmlinux]            [k] free_unref_page_prepare
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073313
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073d8a
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073337
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c45
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c3d
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c5d
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c58
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073292
     0.01%  my_executable  [kernel.vmlinux]            [k] prep_compound_page
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c6a
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073334
     0.01%  my_executable  [kernel.vmlinux]            [k] get_page_from_freelist
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073596
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073fa8
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000732e7
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073370
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073568
     0.00%  my_executable  [kernel.vmlinux]            [k] native_irq_return_iret
     0.00%  my_executable  [kernel.vmlinux]            [k] __irqentry_text_end
     0.00%  my_executable  libm.so.6                   [.] 0x00000000000732fd
     0.00%  my_executable  [kernel.vmlinux]            [k] __update_load_avg_cfs_rq
     0.00%  my_executable  libm.so.6                   [.] 0x000000000007373c
     0.00%  my_executable  libm.so.6                   [.] 0x000000000007331a
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073768
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073d7e
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073f85
     0.00%  my_executable  [kernel.vmlinux]            [k] task_tick_fair
     0.00%  my_executable  [kernel.vmlinux]            [k] trigger_load_balance
     0.00%  my_executable  [kernel.vmlinux]            [k] __update_load_avg_se
     0.00%  my_executable  libm.so.6                   [.] 0x00000000000735a5
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073fad
     0.00%  my_executable  libm.so.6                   [.] 0x000000000007333c
     0.00%  my_executable  libm.so.6                   [.] 0x000000000007330b
     0.00%  my_executable  [kernel.vmlinux]            [k] error_entry
     0.00%  my_executable  [kernel.vmlinux]            [k] hrtimer_active
     0.00%  my_executable  [kernel.vmlinux]            [k] _compound_head
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073944
     0.00%  my_executable  libm.so.6                   [.] 0x000000000007376d
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073fb2
     0.00%  my_executable  [kernel.vmlinux]            [k] ktime_get_update_offsets_now
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073f97
     0.00%  my_executable  [kernel.vmlinux]            [k] native_write_msr
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073de2
