# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 65K of event 'cycles:P'
# Event count (approx.): 26087329131
#
# Overhead  Command        Shared Object               Symbol                                   
# ........  .............  ..........................  .........................................
#
    24.97%  my_executable  libstencil.so               [.] solve_jacobi._omp_fn.1
    23.51%  my_executable  libstencil.so               [.] idx_const
    16.18%  my_executable  libgomp.so.1.0.0            [.] gomp_team_barrier_wait_end
    12.11%  my_executable  libgomp.so.1.0.0            [.] gomp_barrier_wait_end
     7.69%  my_executable  libstencil.so               [.] idx_const@plt
     3.64%  my_executable  libstencil.so               [.] mesh_copy_core
     3.08%  my_executable  [kernel.vmlinux]            [k] clear_page_erms
     1.73%  my_executable  libstencil.so               [.] setup_mesh_cell_values._omp_fn.0
     1.62%  my_executable  libstencil.so               [.] setup_mesh_cell_kinds._omp_fn.0
     0.72%  my_executable  libstencil.so               [.] idx_core
     0.63%  my_executable  libstencil.so               [.] idx_core_const
     0.26%  my_executable  libstencil.so               [.] mesh_set_cell_kind
     0.17%  my_executable  libstencil.so               [.] idx_core@plt
     0.12%  my_executable  libstencil.so               [.] idx
     0.11%  my_executable  [kernel.vmlinux]            [k] perf_adjust_freq_unthr_context
     0.09%  my_executable  libstencil.so               [.] idx_core_const@plt
     0.08%  my_executable  [kernel.vmlinux]            [k] native_queued_spin_lock_slowpath
     0.08%  my_executable  libm.so.6                   [.] 0x0000000000073b8f
     0.06%  my_executable  libm.so.6                   [.] 0x0000000000073a5d
     0.06%  my_executable  [kernel.vmlinux]            [k] update_load_avg
     0.06%  my_executable  libm.so.6                   [.] 0x0000000000073bac
     0.06%  my_executable  libstencil.so               [.] idx@plt
     0.05%  my_executable  libm.so.6                   [.] 0x000000000007391f
     0.05%  my_executable  [kernel.vmlinux]            [k] memset_orig
     0.04%  my_executable  [kernel.vmlinux]            [k] update_cfs_group
     0.04%  my_executable  libm.so.6                   [.] 0x0000000000073a09
     0.04%  my_executable  libm.so.6                   [.] 0x0000000000073bee
     0.03%  my_executable  libm.so.6                   [.] 0x0000000000073bd6
     0.03%  my_executable  libm.so.6                   [.] 0x0000000000073da3
     0.03%  my_executable  libm.so.6                   [.] 0x0000000000073939
     0.03%  my_executable  [kernel.vmlinux]            [k] prep_compound_page
     0.03%  my_executable  libm.so.6                   [.] 0x0000000000073bbd
     0.03%  my_executable  libm.so.6                   [.] 0x00000000000735fc
     0.03%  my_executable  libm.so.6                   [.] 0x0000000000073cc5
     0.03%  my_executable  [igb]                       [k] 0x0000000000001d9b
     0.02%  my_executable  libm.so.6                   [.] 0x00000000000738f6
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073dd3
     0.02%  my_executable  [kernel.vmlinux]            [k] __irqentry_text_end
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073c76
     0.02%  my_executable  [kernel.vmlinux]            [k] entry_SYSCALL_64
     0.02%  my_executable  libstencil.so               [.] mesh_set_cell_kind@plt
     0.02%  my_executable  libm.so.6                   [.] 0x000000000007390a
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073a50
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073dec
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073218
     0.02%  my_executable  [kernel.vmlinux]            [k] pci_conf1_read
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073908
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073ca2
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073bcd
     0.02%  my_executable  libstencil.so               [.] cos@plt
     0.02%  my_executable  libstencil.so               [.] sin@plt
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073bf3
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073122
     0.02%  my_executable  [kernel.vmlinux]            [k] __rmqueue_pcplist
