# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 27K of event 'cycles:P'
# Event count (approx.): 15366302616
#
# Overhead  Command        Shared Object           Symbol                                  
# ........  .............  ......................  ........................................
#
    29.50%  my_executable  libstencil.so           [.] solve_jacobi._omp_fn.1
    24.73%  my_executable  libstencil.so           [.] idx_const
     9.69%  my_executable  libstencil.so           [.] idx_const@plt
     7.84%  my_executable  libstencil.so           [.] mesh_copy_core
     7.10%  my_executable  libgomp.so.1.0.0        [.] gomp_team_barrier_wait_end
     4.85%  my_executable  [kernel.vmlinux]        [k] clear_page_erms
     4.74%  my_executable  libgomp.so.1.0.0        [.] gomp_barrier_wait_end
     2.84%  my_executable  libstencil.so           [.] setup_mesh_cell_values._omp_fn.0
     2.69%  my_executable  libstencil.so           [.] setup_mesh_cell_kinds._omp_fn.0
     0.46%  my_executable  libstencil.so           [.] mesh_set_cell_kind
     0.15%  my_executable  libstencil.so           [.] idx@plt
     0.12%  my_executable  libm.so.6               [.] 0x0000000000073b8f
     0.09%  my_executable  libm.so.6               [.] 0x0000000000073bac
     0.09%  my_executable  libm.so.6               [.] 0x0000000000073939
     0.08%  my_executable  [kernel.vmlinux]        [k] memset_orig
     0.08%  my_executable  libm.so.6               [.] 0x0000000000073bee
     0.08%  my_executable  libm.so.6               [.] 0x0000000000073a5d
     0.07%  my_executable  [kernel.vmlinux]        [k] perf_adjust_freq_unthr_context
     0.07%  my_executable  libm.so.6               [.] 0x0000000000073a09
     0.07%  my_executable  [igb]                   [k] 0x0000000000001d9b
     0.07%  my_executable  libstencil.so           [.] mesh_set_cell_kind@plt
     0.06%  my_executable  [kernel.vmlinux]        [k] copy_page
     0.06%  my_executable  libm.so.6               [.] 0x0000000000073bd6
     0.06%  my_executable  libstencil.so           [.] cos@plt
     0.05%  my_executable  libm.so.6               [.] 0x00000000000730a6
     0.05%  my_executable  libm.so.6               [.] 0x0000000000073cc5
     0.05%  my_executable  libm.so.6               [.] 0x000000000007312f
     0.05%  my_executable  libm.so.6               [.] 0x0000000000073a50
     0.05%  my_executable  [kernel.vmlinux]        [k] native_queued_spin_lock_slowpath
     0.05%  my_executable  libm.so.6               [.] 0x000000000007391f
