# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 51K of event 'cycles:P'
# Event count (approx.): 27800023173
#
# Overhead  Command        Shared Object               Symbol                               
# ........  .............  ..........................  .....................................
#
    46.97%  my_executable  libstencil.so               [.] idx_const
    21.68%  my_executable  libstencil.so               [.] solve_jacobi._omp_fn.1
     7.10%  my_executable  libstencil.so               [.] idx_const@plt
     4.54%  my_executable  libstencil.so               [.] mesh_copy_core
     4.01%  my_executable  libgomp.so.1.0.0            [.] gomp_team_barrier_wait_end
     2.56%  my_executable  [kernel.vmlinux]            [k] clear_page_erms
     2.37%  my_executable  libstencil.so               [.] setup_mesh_cell_values._omp_fn.0
     2.11%  my_executable  libstencil.so               [.] setup_mesh_cell_kinds._omp_fn.0
     1.66%  my_executable  libstencil.so               [.] idx_core_const
     1.30%  my_executable  libgomp.so.1.0.0            [.] gomp_barrier_wait_end
     0.97%  my_executable  libstencil.so               [.] idx_core
     0.56%  my_executable  libstencil.so               [.] mesh_set_cell_kind
     0.46%  my_executable  libstencil.so               [.] idx
     0.35%  my_executable  libstencil.so               [.] compute_core_pressure
     0.17%  my_executable  libstencil.so               [.] idx_core_const@plt
     0.07%  my_executable  libstencil.so               [.] idx_core@plt
     0.07%  my_executable  libstencil.so               [.] mesh_set_cell_kind@plt
     0.06%  my_executable  libstencil.so               [.] idx@plt
     0.06%  my_executable  [kernel.vmlinux]            [k] copy_page
     0.06%  my_executable  [kernel.vmlinux]            [k] perf_adjust_freq_unthr_context
     0.05%  my_executable  libm.so.6                   [.] 0x0000000000073a50
     0.04%  my_executable  libm.so.6                   [.] 0x0000000000073bee
     0.04%  my_executable  libm.so.6                   [.] 0x0000000000073b8f
     0.04%  my_executable  libm.so.6                   [.] 0x0000000000073a5d
     0.04%  my_executable  libm.so.6                   [.] 0x0000000000073cc5
     0.04%  my_executable  [kernel.vmlinux]            [k] memset_orig
     0.04%  my_executable  libm.so.6                   [.] 0x0000000000073dec
     0.04%  my_executable  libm.so.6                   [.] 0x0000000000073a09
     0.03%  my_executable  libm.so.6                   [.] 0x000000000007390a
     0.03%  my_executable  libm.so.6                   [.] 0x0000000000073277
     0.03%  my_executable  [kernel.vmlinux]            [k] __rmqueue_pcplist
     0.03%  my_executable  libm.so.6                   [.] 0x0000000000073939
     0.03%  my_executable  [kernel.vmlinux]            [k] get_page_from_freelist
     0.03%  my_executable  libm.so.6                   [.] 0x0000000000073dd3
     0.03%  my_executable  libm.so.6                   [.] 0x0000000000073bcd
     0.03%  my_executable  [kernel.vmlinux]            [k] smp_call_function_many_cond
     0.03%  my_executable  libm.so.6                   [.] 0x0000000000073da3
     0.03%  my_executable  libstencil.so               [.] cos@plt
     0.03%  my_executable  libm.so.6                   [.] 0x000000000007312f
     0.03%  my_executable  libm.so.6                   [.] 0x00000000000730cf
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073d65
     0.02%  my_executable  [kernel.vmlinux]            [k] pci_conf1_read
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073916
     0.02%  my_executable  libz.so.1.3.1               [.] gzgets
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073bbd
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073122
     0.02%  my_executable  [igb]                       [k] 0x0000000000001d9b
     0.02%  my_executable  [kernel.vmlinux]            [k] update_load_avg
     0.02%  my_executable  libm.so.6                   [.] 0x00000000000732bb
     0.02%  my_executable  [kernel.vmlinux]            [k] entry_SYSCALL_64
     0.02%  my_executable  [kernel.vmlinux]            [k] native_queued_spin_lock_slowpath
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073c23
     0.02%  my_executable  libm.so.6                   [.] 0x00000000000735fc
     0.02%  my_executable  libm.so.6                   [.] 0x000000000007391f
     0.02%  my_executable  [kernel.vmlinux]            [k] free_tail_page_prepare
     0.02%  my_executable  libm.so.6                   [.] 0x000000000007338f
     0.02%  my_executable  libm.so.6                   [.] 0x00000000000730ba
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073df2
     0.02%  my_executable  [kernel.vmlinux]            [k] update_cfs_group
     0.02%  my_executable  libopen-pal.so.80.0.2       [.] opal_mem_hooks_release_hook
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073908
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073296
     0.02%  my_executable  libm.so.6                   [.] 0x00000000000738f6
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073d8f
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000735a2
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007325e
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c76
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073cca
     0.01%  my_executable  [kernel.vmlinux]            [k] __mod_memcg_lruvec_state
     0.01%  my_executable  [kernel.vmlinux]            [k] error_entry
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007391b
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073ba8
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c6d
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073db4
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000730ee
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073bac
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073ca2
     0.01%  my_executable  [kernel.vmlinux]            [k] clear_huge_page
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000730b8
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073bf3
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c2f
     0.01%  my_executable  libhwloc.so.15.7.0          [.] 0x0000000000037537
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073bd6
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c4c
     0.01%  my_executable  [kernel.vmlinux]            [k] task_tick_fair
     0.01%  my_executable  [kernel.vmlinux]            [k] __update_load_avg_se
     0.01%  my_executable  [kernel.vmlinux]            [k] kmem_cache_alloc
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073bff
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000738f0
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073df7
     0.01%  my_executable  libstencil.so               [.] sin@plt
     0.01%  my_executable  [kernel.vmlinux]            [k] __d_lookup
     0.01%  my_executable  [kernel.vmlinux]            [k] x86_pmu_disable
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073bb1
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000730a6
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073dfd
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c72
     0.01%  my_executable  [kernel.vmlinux]            [k] kfree
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073bd2
     0.01%  my_executable  [kernel.vmlinux]            [k] kernfs_refresh_inode
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000735a8
     0.01%  my_executable  [kernel.vmlinux]            [k] native_irq_return_iret
     0.01%  my_executable  [kernel.vmlinux]            [k] native_read_msr
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073d74
