# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 60K of event 'cycles:P'
# Event count (approx.): 27923495162
#
# Overhead  Command        Shared Object           Symbol                                 
# ........  .............  ......................  .......................................
#
    46.43%  my_executable  libstencil.so           [.] idx_const
    21.47%  my_executable  libstencil.so           [.] solve_jacobi._omp_fn.1
     6.85%  my_executable  libstencil.so           [.] idx_const@plt
     4.53%  my_executable  libstencil.so           [.] mesh_copy_core
     4.45%  my_executable  libgomp.so.1.0.0        [.] gomp_team_barrier_wait_end
     2.43%  my_executable  [kernel.vmlinux]        [k] clear_page_erms
     2.37%  my_executable  libstencil.so           [.] setup_mesh_cell_values._omp_fn.0
     2.10%  my_executable  libstencil.so           [.] setup_mesh_cell_kinds._omp_fn.0
     1.90%  my_executable  libgomp.so.1.0.0        [.] gomp_barrier_wait_end
     1.59%  my_executable  libstencil.so           [.] idx_core_const
     1.04%  my_executable  libstencil.so           [.] idx_core
     0.53%  my_executable  libstencil.so           [.] mesh_set_cell_kind
     0.51%  my_executable  libstencil.so           [.] idx
     0.31%  my_executable  libstencil.so           [.] compute_core_pressure
     0.17%  my_executable  libstencil.so           [.] idx_core_const@plt
     0.09%  my_executable  libstencil.so           [.] mesh_set_cell_kind@plt
     0.09%  my_executable  libstencil.so           [.] idx_core@plt
     0.07%  my_executable  libstencil.so           [.] idx@plt
     0.05%  my_executable  libm.so.6               [.] 0x0000000000073a5d
     0.05%  my_executable  libm.so.6               [.] 0x0000000000073bee
     0.05%  my_executable  [kernel.vmlinux]        [k] perf_adjust_freq_unthr_context
     0.05%  my_executable  [kernel.vmlinux]        [k] memset_orig
     0.05%  my_executable  libm.so.6               [.] 0x0000000000073a50
     0.05%  my_executable  [kernel.vmlinux]        [k] copy_page
     0.05%  my_executable  libm.so.6               [.] 0x0000000000073b8f
     0.04%  my_executable  libstencil.so           [.] cos@plt
     0.04%  my_executable  libm.so.6               [.] 0x000000000007312f
     0.03%  my_executable  [igb]                   [k] 0x0000000000001d9b
     0.03%  my_executable  [kernel.vmlinux]        [k] entry_SYSCALL_64
     0.03%  my_executable  [kernel.vmlinux]        [k] native_queued_spin_lock_slowpath
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073277
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073dd3
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073939
     0.03%  my_executable  [kernel.vmlinux]        [k] pci_conf1_read
     0.03%  my_executable  libm.so.6               [.] 0x000000000007390a
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073db4
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073916
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073122
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073a09
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073d65
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073cc5
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073bcd
     0.02%  my_executable  libm.so.6               [.] 0x000000000007391f
     0.02%  my_executable  [kernel.vmlinux]        [k] syscall_return_via_sysret
     0.02%  my_executable  libm.so.6               [.] 0x00000000000730cf
     0.02%  my_executable  [kernel.vmlinux]        [k] native_irq_return_iret
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073da3
