# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles:P'
# Event count (approx.): 6809543337
#
# Overhead  Command        Shared Object           Symbol                                      
# ........  .............  ......................  ............................................
#
    15.12%  my_executable  libgomp.so.1.0.0        [.] gomp_team_barrier_wait_end
    11.37%  my_executable  [kernel.vmlinux]        [k] clear_page_erms
    11.18%  my_executable  libstencil.so           [.] idx_const
     9.90%  my_executable  libstencil.so           [.] setup_mesh_cell_values._omp_fn.0
     9.51%  my_executable  [kernel.vmlinux]        [k] mutex_spin_on_owner
     8.35%  my_executable  libstencil.so           [.] setup_mesh_cell_kinds._omp_fn.0
     4.70%  my_executable  libstencil.so           [.] solve_jacobi._omp_fn.1
     3.33%  my_executable  libgomp.so.1.0.0        [.] gomp_barrier_wait_end
     2.41%  my_executable  libstencil.so           [.] mesh_set_cell_kind
     1.70%  my_executable  libstencil.so           [.] idx_const@plt
     1.37%  my_executable  libstencil.so           [.] compute_core_pressure
     0.85%  my_executable  [kernel.vmlinux]        [k] memcpy_orig
     0.76%  my_executable  [kernel.vmlinux]        [k] copy_mc_enhanced_fast_string
     0.49%  my_executable  [kernel.vmlinux]        [k] osq_lock
     0.43%  my_executable  [kernel.vmlinux]        [k] __mutex_lock.constprop.0
     0.39%  my_executable  libstencil.so           [.] mesh_set_cell_kind@plt
     0.34%  my_executable  [kernel.vmlinux]        [k] _copy_from_iter
     0.26%  my_executable  libstencil.so           [.] idx_core_const
     0.25%  my_executable  [kernel.vmlinux]        [k] native_queued_spin_lock_slowpath
     0.21%  my_executable  libm.so.6               [.] 0x0000000000073cc5
     0.20%  my_executable  libm.so.6               [.] 0x0000000000073a50
     0.20%  my_executable  [kernel.vmlinux]        [k] rwsem_spin_on_owner
     0.19%  my_executable  [kernel.vmlinux]        [k] mutex_unlock
     0.18%  my_executable  libc.so.6               [.] pthread_spin_lock
     0.17%  my_executable  [kernel.vmlinux]        [k] memset_orig
     0.16%  my_executable  libm.so.6               [.] 0x0000000000073bee
     0.16%  my_executable  libm.so.6               [.] 0x0000000000073b8f
     0.16%  my_executable  [igb]                   [k] 0x0000000000001d9b
     0.15%  my_executable  [kernel.vmlinux]        [k] mt_find
     0.15%  my_executable  libc.so.6               [.] 0x0000000000157d4a
     0.14%  my_executable  [kernel.vmlinux]        [k] syscall_return_via_sysret
     0.14%  my_executable  libm.so.6               [.] 0x0000000000073a5d
     0.14%  my_executable  libm.so.6               [.] 0x0000000000073a09
     0.13%  my_executable  [kernel.vmlinux]        [k] __rmqueue_pcplist
     0.13%  my_executable  libstencil.so           [.] cos@plt
     0.13%  my_executable  [kernel.vmlinux]        [k] entry_SYSCALL_64
     0.13%  my_executable  libm.so.6               [.] 0x0000000000073dec
     0.12%  my_executable  libstencil.so           [.] idx
     0.12%  my_executable  [kernel.vmlinux]        [k] get_page_from_freelist
     0.12%  my_executable  libm.so.6               [.] 0x00000000000730a6
     0.11%  my_executable  [kernel.vmlinux]        [k] mas_walk
     0.11%  my_executable  [kernel.vmlinux]        [k] _raw_spin_lock_irqsave
     0.11%  my_executable  libm.so.6               [.] 0x0000000000073d65
     0.11%  my_executable  libm.so.6               [.] 0x0000000000073277
     0.11%  my_executable  libucs.so.0.0.0         [.] bfd_alloc
     0.10%  my_executable  libm.so.6               [.] 0x0000000000073bcd
     0.10%  my_executable  [kernel.vmlinux]        [k] prep_compound_page
     0.10%  my_executable  libucs.so.0.0.0         [.] bfd_elf64_slurp_symbol_table
     0.10%  my_executable  libm.so.6               [.] 0x0000000000073bac
     0.10%  my_executable  libm.so.6               [.] 0x000000000007312f
     0.10%  my_executable  [kernel.vmlinux]        [k] mutex_lock
     0.10%  my_executable  libc.so.6               [.] malloc
     0.10%  my_executable  libm.so.6               [.] 0x0000000000073da3
     0.09%  my_executable  [kernel.vmlinux]        [k] rep_movs_alternative
     0.09%  my_executable  libz.so.1.3.1           [.] gzgets
     0.09%  my_executable  libm.so.6               [.] 0x000000000007391f
     0.09%  my_executable  libm.so.6               [.] 0x0000000000073bbd
     0.08%  my_executable  libm.so.6               [.] 0x0000000000073c23
     0.08%  my_executable  libm.so.6               [.] 0x00000000000730cf
     0.08%  my_executable  [kernel.vmlinux]        [k] dump_user_range
     0.08%  my_executable  [kernel.vmlinux]        [k] pipe_write
     0.08%  my_executable  libm.so.6               [.] 0x0000000000073122
     0.08%  my_executable  libm.so.6               [.] 0x000000000007390a
     0.08%  my_executable  libm.so.6               [.] 0x0000000000073218
     0.08%  my_executable  [kernel.vmlinux]        [k] perf_adjust_freq_unthr_context
     0.08%  my_executable  [kernel.vmlinux]        [k] perf_iterate_ctx
     0.07%  my_executable  libm.so.6               [.] 0x000000000007325e
     0.07%  my_executable  [kernel.vmlinux]        [k] get_mem_cgroup_from_mm
     0.07%  my_executable  libm.so.6               [.] 0x0000000000073dd3
     0.07%  my_executable  [kernel.vmlinux]        [k] __kernel_write_iter
     0.07%  my_executable  [kernel.vmlinux]        [k] native_irq_return_iret
     0.07%  my_executable  [kernel.vmlinux]        [k] pci_conf1_read
     0.07%  my_executable  [kernel.vmlinux]        [k] __rcu_read_unlock
     0.07%  my_executable  libm.so.6               [.] 0x00000000000738f5
     0.07%  my_executable  libm.so.6               [.] 0x0000000000073908
     0.07%  my_executable  libm.so.6               [.] 0x000000000007338f
