# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7M of event 'cycles:P'
# Event count (approx.): 4977964171209
#
# Overhead  Command        Shared Object           Symbol                                        
# ........  .............  ......................  ..............................................
#
    60.41%  my_executable  libstencil.so           [.] idx_const
    24.43%  my_executable  libstencil.so           [.] solve_jacobi._omp_fn.1
     6.27%  my_executable  libstencil.so           [.] idx_const@plt
     2.09%  my_executable  libstencil.so           [.] mesh_copy_core
     1.19%  my_executable  libstencil.so           [.] setup_mesh_cell_values._omp_fn.0
     1.08%  my_executable  libstencil.so           [.] idx_core_const
     1.01%  my_executable  libstencil.so           [.] setup_mesh_cell_kinds._omp_fn.0
     0.66%  my_executable  libstencil.so           [.] idx_core
     0.64%  my_executable  libstencil.so           [.] idx
     0.28%  my_executable  libstencil.so           [.] mesh_set_cell_kind
     0.21%  my_executable  [kernel.vmlinux]        [k] clear_page_erms
     0.16%  my_executable  libstencil.so           [.] compute_core_pressure
     0.12%  my_executable  libstencil.so           [.] idx_core_const@plt
     0.10%  my_executable  libgomp.so.1.0.0        [.] gomp_team_barrier_wait_end
     0.10%  my_executable  libgomp.so.1.0.0        [.] gomp_barrier_wait_end
     0.08%  my_executable  [kernel.vmlinux]        [k] copy_page
     0.07%  my_executable  libstencil.so           [.] idx@plt
     0.06%  my_executable  libstencil.so           [.] idx_core@plt
     0.06%  my_executable  [kernel.vmlinux]        [k] perf_adjust_freq_unthr_context
     0.04%  my_executable  libstencil.so           [.] mesh_set_cell_kind@plt
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073b8f
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073a5d
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073a50
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073bee
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073a09
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073dec
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073cc5
     0.01%  my_executable  libstencil.so           [.] cos@plt
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073277
     0.01%  my_executable  [kernel.vmlinux]        [k] update_load_avg
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073939
     0.01%  my_executable  libm.so.6               [.] 0x000000000007312f
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073dd3
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073d65
     0.01%  my_executable  libm.so.6               [.] 0x000000000007390a
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073bcd
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073c23
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073122
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073da3
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073bac
     0.01%  my_executable  libm.so.6               [.] 0x00000000000732bb
     0.01%  my_executable  libm.so.6               [.] 0x000000000007391f
     0.01%  my_executable  libm.so.6               [.] 0x00000000000730cf
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073bbd
     0.01%  my_executable  libm.so.6               [.] 0x000000000007325e
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073916
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073908
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073218
     0.01%  my_executable  libm.so.6               [.] 0x00000000000730a6
     0.01%  my_executable  [kernel.vmlinux]        [k] update_curr
     0.01%  my_executable  libm.so.6               [.] 0x00000000000730ee
     0.01%  my_executable  libm.so.6               [.] 0x00000000000735fc
     0.01%  my_executable  libm.so.6               [.] 0x00000000000730ba
     0.01%  my_executable  libm.so.6               [.] 0x000000000007338f
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073ca2
     0.01%  my_executable  [kernel.vmlinux]        [k] __update_load_avg_se
     0.01%  my_executable  [kernel.vmlinux]        [k] __update_load_avg_cfs_rq
     0.01%  my_executable  libm.so.6               [.] 0x00000000000738f5
     0.01%  my_executable  libm.so.6               [.] 0x00000000000730b8
     0.01%  my_executable  [kernel.vmlinux]        [k] update_cfs_group
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073ba8
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073db4
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073df7
     0.01%  my_executable  [kernel.vmlinux]        [k] psi_account_irqtime
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073296
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073bb1
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073903
