# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 335K of event 'cycles:P'
# Event count (approx.): 194374310278
#
# Overhead  Command        Shared Object           Symbol                                    
# ........  .............  ......................  ..........................................
#
    30.65%  my_executable  libstencil.so           [.] setup_mesh_cell_values._omp_fn.0
    25.94%  my_executable  libstencil.so           [.] setup_mesh_cell_kinds._omp_fn.0
     7.19%  my_executable  libstencil.so           [.] mesh_set_cell_kind
     4.24%  my_executable  [kernel.vmlinux]        [k] mutex_spin_on_owner
     4.06%  my_executable  libstencil.so           [.] compute_core_pressure
     2.97%  my_executable  [kernel.vmlinux]        [k] clear_page_erms
     1.14%  my_executable  libstencil.so           [.] mesh_set_cell_kind@plt
     1.08%  my_executable  [kernel.vmlinux]        [k] copy_mc_enhanced_fast_string
     0.77%  my_executable  libgomp.so.1.0.0        [.] gomp_team_barrier_wait_end
     0.61%  my_executable  libm.so.6               [.] 0x0000000000073b8f
     0.60%  my_executable  libm.so.6               [.] 0x0000000000073a5d
     0.54%  my_executable  [kernel.vmlinux]        [k] _copy_from_iter
     0.52%  my_executable  libm.so.6               [.] 0x0000000000073a50
     0.51%  my_executable  libm.so.6               [.] 0x0000000000073bee
     0.45%  my_executable  libm.so.6               [.] 0x0000000000073a09
     0.44%  my_executable  libm.so.6               [.] 0x0000000000073cc5
     0.43%  my_executable  libm.so.6               [.] 0x0000000000073dec
     0.36%  my_executable  libm.so.6               [.] 0x0000000000073277
     0.36%  my_executable  libstencil.so           [.] cos@plt
     0.36%  my_executable  libm.so.6               [.] 0x0000000000073939
     0.32%  my_executable  libm.so.6               [.] 0x000000000007312f
     0.31%  my_executable  libm.so.6               [.] 0x0000000000073d65
     0.30%  my_executable  libm.so.6               [.] 0x000000000007390a
     0.29%  my_executable  libm.so.6               [.] 0x0000000000073da3
     0.29%  my_executable  libm.so.6               [.] 0x0000000000073bcd
     0.29%  my_executable  libm.so.6               [.] 0x0000000000073dd3
     0.28%  my_executable  libm.so.6               [.] 0x0000000000073c23
     0.28%  my_executable  libm.so.6               [.] 0x0000000000073bac
     0.27%  my_executable  libstencil.so           [.] idx_const
     0.27%  my_executable  libm.so.6               [.] 0x0000000000073122
     0.26%  my_executable  libm.so.6               [.] 0x00000000000732bb
     0.25%  my_executable  libm.so.6               [.] 0x000000000007391f
     0.24%  my_executable  libm.so.6               [.] 0x00000000000730cf
     0.24%  my_executable  libm.so.6               [.] 0x000000000007325e
     0.22%  my_executable  libm.so.6               [.] 0x0000000000073bbd
     0.22%  my_executable  libm.so.6               [.] 0x0000000000073908
     0.22%  my_executable  libgomp.so.1.0.0        [.] gomp_barrier_wait_end
     0.22%  my_executable  [kernel.vmlinux]        [k] __mutex_lock.constprop.0
     0.21%  my_executable  libm.so.6               [.] 0x0000000000073218
     0.21%  my_executable  [kernel.vmlinux]        [k] mutex_unlock
     0.20%  my_executable  libm.so.6               [.] 0x000000000007338f
     0.20%  my_executable  libm.so.6               [.] 0x00000000000730ee
     0.20%  my_executable  libm.so.6               [.] 0x0000000000073916
     0.19%  my_executable  libm.so.6               [.] 0x0000000000073ca2
     0.19%  my_executable  libm.so.6               [.] 0x00000000000730a6
     0.19%  my_executable  libm.so.6               [.] 0x00000000000730ba
     0.18%  my_executable  libm.so.6               [.] 0x00000000000738f5
     0.18%  my_executable  libm.so.6               [.] 0x00000000000735fc
     0.18%  my_executable  libm.so.6               [.] 0x0000000000073df7
     0.17%  my_executable  libm.so.6               [.] 0x00000000000730b8
     0.16%  my_executable  libm.so.6               [.] 0x0000000000073db4
     0.16%  my_executable  libm.so.6               [.] 0x0000000000073ba8
     0.16%  my_executable  libm.so.6               [.] 0x0000000000073296
     0.16%  my_executable  libm.so.6               [.] 0x0000000000073d8f
     0.15%  my_executable  libm.so.6               [.] 0x00000000000738f6
     0.15%  my_executable  libm.so.6               [.] 0x0000000000073bb1
     0.15%  my_executable  libm.so.6               [.] 0x0000000000073903
     0.14%  my_executable  libm.so.6               [.] 0x0000000000073bf3
     0.14%  my_executable  libm.so.6               [.] 0x000000000007357d
     0.13%  my_executable  libm.so.6               [.] 0x00000000000735e3
     0.13%  my_executable  [kernel.vmlinux]        [k] osq_lock
     0.13%  my_executable  libm.so.6               [.] 0x0000000000073285
     0.13%  my_executable  libm.so.6               [.] 0x0000000000073c76
     0.12%  my_executable  libm.so.6               [.] 0x0000000000073c83
